type_name,included,SUP,FISH,PLASTIC
Plastic: Yokes [1],x,x,,x
Plastic: Bags [2],x,x,,x
Plastic: Small_bags [3],x,x,,x
Plastic: Bag_ends [112],x,x,,x
Plastic: Drinks [4],x,x,,x
Plastic: Cleaner [5],x,x,,x
Plastic: Food [6],x,x,,x
Plastic: Toiletries [7],x,x,,x
Plastic: Oil_small [8],x,,,x
Plastic: Oil_large [9],x,,,x
Plastic: Jerry_cans [10],x,,,x
Plastic: Injection_gun [11],x,,,x
Plastic: Other_bottles [12],x,x,,x
Plastic: Crates [13],x,,,x
Plastic: Car_parts [14],x,,,x
Plastic: Caps [15],x,x,,x
Plastic: Cigarettelighters [16],x,,,x
Plastic: Pens [17],x,,,x
Plastic: Combs [18],x,,,x
Plastic: Crisp [19],x,x,,x
Plastic: Toys [20],x,,,x
Plastic: Cups [21],x,x,,x
Plastic: Cutlery [22],x,x,,x
Plastic: Fertiliser [23],x,x,,x
Plastic: Meshbags [24],x,x,,x
Plastic: Gloves [25],x,,,x
Plastic: Gloves_pro [113],x,,,x
Plastic: Lobsterpots [26],x,,x,x
Plastic: Fish_tags [114],x,,x,x
Plastic: Octopus_pots [27],x,,x,x
Plastic: Oyster_nets [28],x,,x,x
Plastic: Oyster_trays [29],x,,x,x
Plastic: Mussel_sheeting [30],x,,x,x
Plastic: Rope [31],x,,x,x
Plastic: String [32],x,,x,x
Plastic: Fishing_net_small [115],x,,x,x
Plastic: Fishing_net_large [116],x,,x,x
Plastic: Tangled [33],x,,x,x
Plastic: Fishboxes [34],x,,x,x
Plastic: Fishing_line [35],x,,x,x
Plastic: Light_sticks [36],x,,x,x
Plastic: Floats [37],x,,x,x
Plastic: Buckets [38],x,,,x
Plastic: Strapping [39],x,,,x
Plastic: Industrial [40],x,,,x
Plastic: Fibre_glass [41],x,,,x
Plastic: Hard_hats [42],x,,,x
Plastic: Shotgun [43],x,,,x
Plastic: Shoes [44],x,,,x
Plastic: Foam_sponge [45],x,,,x
Plastic: Plastic_small [117],x,,,x
Plastic: Plastic_large [46],x,,,x
Plastic: Plastic_vlarge [47],x,,,x
Plastic: Other [48],x,,,x
Rubber: Balloons [49],x,x,,
Rubber: Boots [50],x,,,
Rubber: Tyres [52],x,,,
Rubber: Other [53],x,,,
Cloth: Clothing [54],x,,,
Cloth: Furnishings [55],x,,,
Cloth: Sacking [56],x,,,
Cloth: Shoes [57],x,,,
Cloth: Other [59],x,,,
Paper: Bags [60],x,,,
Paper: Cardboard [61],x,,,
Paper: Purepak [118],x,,,
Paper: Tetrapak [62],x,,,
Paper: Cig_packets [63],x,,,
Paper: Cig_stubs [64],x,x,,
Paper: Cups [65],x,,,
Paper: Newspapers [66],x,,,
Paper: Other [67],x,,,
Wood: Corks [68],x,,,
Wood: Pallets [69],x,,,
Wood: Crates [70],x,,,
Wood: Lobsterpots [71],x,,x,
Wood: Fish_boxes [119],x,,x,
Wood: Lolly [72],x,,,
Wood: Brushes [73],x,,,
Wood: Other_small [74],x,,,
Wood: Other_large [75],x,,,
Metal: Aerosol [76],x,,,
Metal: Caps [77],x,,,
Metal: Drink [78],x,,,
Metal: Bbqs [120],x,,,
Metal: Electrical [79],x,,,
Metal: Fishing [80],x,,,
Metal: Foil [81],x,,,
Metal: Food [82],x,,,
Metal: Scrap [83],x,,,
Metal: Oil [84],x,,,
Metal: Paint_tins [86],x,,,
Metal: Lobsterpots [87],x,,,
Metal: Wire [88],x,,,
Metal: Other_small [89],x,,,
Metal: Other_large [90],x,,,
Glass: Bottles [91],x,,,
Glass: Bulbs [92],x,,,
Glass: Other [93],x,,,
Pottery: Construction [94],x,,,
Pottery: Octopus_pots [95],x,,x,
Pottery: Other [96],x,,,
San: Condoms [97],x,x,,
San: Buds [98],x,x,,
San: Towels [99],x,x,,
San: Tampons [100],x,x,,
San: Toilet [101],x,x,,
San: Other [102],x,x,,
Med: Containers [103],x,x,,
Med: Syringes [104],x,,,
Med: Other [105],x,,,
Faeces: In_bags [121],x,x,,
Pollutants: Wax_small [108],,,,
Pollutants: Wax_medium [109],,,,
Pollutants: Wax_large [110],,,,
Pollutants: Other [111],,,,
Plastic: Food_plastic [610],,x,,x
Plastic: Food_eps [620],,x,,x
Plastic: Cups_plastic [211],,x,,x
Plastic: Cups_eps [212],,x,,x
Plastic: Fishboxes_plastic [341],,,x,x
Plastic: Fishboxes_eps [342],,,x,x
Plastic: Plastic_s [1171],,,,x
Plastic: Eps_s [1172],,,,x
Plastic: Plastic_m [461],,,,x
Plastic: Eps_m [462],,,,x
Plastic: Plastic_l [471],,,,x
Plastic: Eps_l [472],,,,x
Plastic: String_cord [321],,,x,x
Plastic: Dolly_rope [322],,,x,x
Plastic: Tangled_string [331],,,x,x
Plastic: Tangled_dolly_rope [332],,,x,x
San: Buds_plastic [981],,x,,x
San: Buds_cardboard [982],,,,
Plastic: Biofilm [481],,,,x
Glass: Jars [931],,,,
Survey: Old_rope_small [200],,,,
Survey: Old_rope_large [201],,,,
Survey: Old_plastic_pieces [202],,,,
Survey: Old_gloves [203],,,,
Survey: Old_cartons [204],,,,
Survey: Old_oildrums_new [205],,,,
Survey: Old_oildrums_old [206],,,,
Survey: Old_human_faeces [207],,,,
Survey: Old_animal_faeces [208],,,,
Survey: Old_cloth_rope [210],,,,
