entry,description,value
analyst_name,name of the person who performs the litter analysis,text
module_stats,Activate the descriptive statistics module?,true or false
module_trend,Activate the trend analysis module?,true or false
module_baseline,Activate the baseline analysis module?,true or false
module_power,Activate the power analysis module?,true or false
min_date,first date to analyse,YYYY-mm-dd (ISO 6801)
max_date,last date to analyse,YYYY-mm-dd (ISO 6801)
percentage_total_abundance,percentage of total abundance to analyse,"percentage, default value: 80%"
file_groups, name of litter group file, text
litter_types,litter type(s) to analyse,"litter/group code(s) in square brackets, e.g.,  [[49], [TA], [SUP]]"
image_quality: high,quality of the images,high or low
number_of_simulations,number of Monte Carlo simulations for power analysis,integer greater than 0. Default value: 100
alpha,significance level used for power-analysis,numeric in 0..1. Default value: 0.05
resolution_effect_size,resolution of the effectsize (power analysis),range: 5% .. 50%
min_surveys,minimum number of surveys to sample from in power analysis,integer greater than 0. Default value: 16
show_source_code,Show all R source code?,true or false
